tahun_data,kab_kota,indikator,jumlah,satuan
2021,Kota Tegal,Timbulan Sampah,75932.3,Ton
2022,Kab. Banjarnegara,Timbulan Sampah,179000,Ton
2022,Kab. Banyumas,Timbulan Sampah,195964.49,Ton
2022,Kab. Batang,Timbulan Sampah,122247.78,Ton
2022,Kab. Blora,Timbulan Sampah,117978.89,Ton
2022,Kab. Boyolali,Timbulan Sampah,111246.04,Ton
2022,Kab. Brebes,Timbulan Sampah,249911.96,Ton
2022,Kab. Cilacap,Timbulan Sampah,347055.78,Ton
2022,Kab. Demak,Timbulan Sampah,173950.41,Ton
2022,Kab. Grobogan,Timbulan Sampah,186358.55,Ton
2022,Kab. Jepara,Timbulan Sampah,178049,Ton
2022,Kab. Karanganyar,Timbulan Sampah,120247.99,Ton
2022,Kab. Kebumen,Timbulan Sampah,169013.4,Ton
2022,Kab. Kendal,Timbulan Sampah,147814.93,Ton
2022,Kab. Klaten,Timbulan Sampah,167909.84,Ton
2022,Kab. Kudus,Timbulan Sampah,121287.19,Ton
2022,Kab. Magelang,Timbulan Sampah,186196.26,Ton
2022,Kab. Pati,Timbulan Sampah,178949.07,Ton
2022,Kab. Pekalongan,Timbulan Sampah,137943.46,Ton
2022,Kab. Pemalang,Timbulan Sampah,210080.57,Ton
2022,Kab. Purbalingga,Timbulan Sampah,186120.8,Ton
2022,Kab. Purworejo,Timbulan Sampah,105694.22,Ton
2022,Kab. Rembang,Timbulan Sampah,143493.63,Ton
2022,Kab. Semarang,Timbulan Sampah,141671.21,Ton
2022,Kab. Sragen,Timbulan Sampah,145452.12,Ton
2022,Kab. Sukoharjo,Timbulan Sampah,121303.49,Ton
2022,Kab. Tegal,Timbulan Sampah,254304.75,Ton
2022,Kab. Temanggung,Timbulan Sampah,106565.34,Ton
2022,Kab. Wonogiri,Timbulan Sampah,162628.77,Ton
2022,Kab. Wonosobo,Timbulan Sampah,133604.58,Ton
2022,Kota Magelang,Timbulan Sampah,26938.83,Ton
2022,Kota Pekalongan,Timbulan Sampah,48281.33,Ton
2022,Kota Salatiga,Timbulan Sampah,29809.88,Ton
2022,Kota Semarang,Timbulan Sampah,461288.66,Ton
2022,Kota Surakarta,Timbulan Sampah,112282.68,Ton
2022,Kota Tegal,Timbulan Sampah,76296.86,Ton
2023,Kab. Banjarnegara,Timbulan Sampah,134627,Ton
2023,Kab. Banyumas,Timbulan Sampah,174507.37,Ton
2023,Kab. Batang,Timbulan Sampah,255414.1,Ton
2023,Kab. Blora,Timbulan Sampah,115882.54,Ton
2023,Kab. Boyolali,Timbulan Sampah,111334.46,Ton
2023,Kab. Brebes,Timbulan Sampah,250669.75,Ton
2023,Kab. Cilacap,Timbulan Sampah,350410.59,Ton
2023,Kab. Demak,Timbulan Sampah,174351,Ton
2023,Kab. Grobogan,Timbulan Sampah,188836.72,Ton
2023,Kab. Jepara,Timbulan Sampah,165089,Ton
2023,Kab. Karanganyar,Timbulan Sampah,120287.66,Ton
2023,Kab. Kebumen,Timbulan Sampah,169225.2,Ton
2023,Kab. Kendal,Timbulan Sampah,150242.06,Ton
2023,Kab. Klaten,Timbulan Sampah,167570.62,Ton
2023,Kab. Kudus,Timbulan Sampah,121873.74,Ton
2023,Kab. Magelang,Timbulan Sampah,170428.16,Ton
2023,Kab. Pati,Timbulan Sampah,183226.37,Ton
2023,Kab. Pekalongan,Timbulan Sampah,138139.06,Ton
2023,Kab. Pemalang,Timbulan Sampah,210878.02,Ton
2023,Kab. Purbalingga,Timbulan Sampah,199852.12,Ton
